GEOGRAPHY_CODE,CELL,OBS_VALUE,CELL_NAME
E01011286,0,1244,All usual residents
E01011287,0,1320,All usual residents
E01011292,0,1619,All usual residents
E01011293,0,1720,All usual residents
E01011294,0,1518,All usual residents
E01011295,0,1526,All usual residents
E01011296,0,1678,All usual residents
E01011297,0,1585,All usual residents
E01011298,0,1538,All usual residents
E01011299,0,2238,All usual residents
E01011300,0,1469,All usual residents
E01011301,0,1336,All usual residents
E01011302,0,1406,All usual residents
E01011303,0,1145,All usual residents
E01011304,0,1591,All usual residents
E01011305,0,1496,All usual residents
E01011306,0,1342,All usual residents
E01011307,0,1526,All usual residents
E01011308,0,1528,All usual residents
E01011309,0,1507,All usual residents
E01011310,0,1623,All usual residents
E01011311,0,1217,All usual residents
E01011312,0,1599,All usual residents
E01011313,0,1595,All usual residents
E01011314,0,1472,All usual residents
E01011315,0,1552,All usual residents
E01011316,0,1657,All usual residents
E01011317,0,1705,All usual residents
E01011318,0,1470,All usual residents
E01011319,0,1568,All usual residents
E01011320,0,1674,All usual residents
E01011321,0,1544,All usual residents
E01011322,0,1544,All usual residents
E01011323,0,1267,All usual residents
E01011324,0,2251,All usual residents
E01011325,0,1436,All usual residents
E01011326,0,1359,All usual residents
E01011327,0,1325,All usual residents
E01011328,0,1491,All usual residents
E01011329,0,1486,All usual residents
E01011330,0,1254,All usual residents
E01011331,0,1238,All usual residents
E01011332,0,1340,All usual residents
E01011333,0,1263,All usual residents
E01011334,0,1293,All usual residents
E01011335,0,1671,All usual residents
E01011336,0,1525,All usual residents
E01011337,0,1399,All usual residents
E01011338,0,1671,All usual residents
E01011339,0,1783,All usual residents
E01011340,0,1616,All usual residents
E01011341,0,1484,All usual residents
E01011342,0,1410,All usual residents
E01011343,0,1663,All usual residents
E01011344,0,1764,All usual residents
E01011345,0,1418,All usual residents
E01011346,0,1791,All usual residents
E01011347,0,1671,All usual residents
E01011348,0,1622,All usual residents
E01011349,0,1716,All usual residents
E01011350,0,1625,All usual residents
E01011351,0,1696,All usual residents
E01011352,0,1790,All usual residents
E01011353,0,1865,All usual residents
E01011354,0,1397,All usual residents
E01011355,0,1378,All usual residents
E01011356,0,1926,All usual residents
E01011357,0,1914,All usual residents
E01011358,0,1453,All usual residents
E01011359,0,1682,All usual residents
E01011360,0,2075,All usual residents
E01011361,0,2478,All usual residents
E01011362,0,1820,All usual residents
E01011363,0,1614,All usual residents
E01011364,0,1631,All usual residents
E01011366,0,1588,All usual residents
E01011368,0,1275,All usual residents
E01011369,0,1561,All usual residents
E01011370,0,1724,All usual residents
E01011371,0,1460,All usual residents
E01011372,0,1380,All usual residents
E01011373,0,1439,All usual residents
E01011374,0,1195,All usual residents
E01011375,0,1847,All usual residents
E01011376,0,1516,All usual residents
E01011377,0,1386,All usual residents
E01011378,0,1394,All usual residents
E01011379,0,1482,All usual residents
E01011380,0,1523,All usual residents
E01011381,0,1312,All usual residents
E01011382,0,1456,All usual residents
E01011383,0,1566,All usual residents
E01011384,0,1485,All usual residents
E01011385,0,1249,All usual residents
E01011386,0,1419,All usual residents
E01011388,0,1407,All usual residents
E01011390,0,1443,All usual residents
E01011391,0,1645,All usual residents
E01011392,0,1463,All usual residents
E01011393,0,1725,All usual residents
E01011394,0,1237,All usual residents
E01011395,0,1184,All usual residents
E01011396,0,1766,All usual residents
E01011397,0,1506,All usual residents
E01011398,0,1257,All usual residents
E01011399,0,1481,All usual residents
E01011400,0,1428,All usual residents
E01011401,0,1509,All usual residents
E01011402,0,1768,All usual residents
E01011403,0,1396,All usual residents
E01011404,0,1321,All usual residents
E01011405,0,1425,All usual residents
E01011406,0,1403,All usual residents
E01011407,0,1448,All usual residents
E01011408,0,1451,All usual residents
E01011409,0,1397,All usual residents
E01011410,0,1274,All usual residents
E01011411,0,1591,All usual residents
E01011412,0,1370,All usual residents
E01011413,0,1562,All usual residents
E01011414,0,1484,All usual residents
E01011415,0,1594,All usual residents
E01011416,0,1498,All usual residents
E01011417,0,1496,All usual residents
E01011418,0,1476,All usual residents
E01011419,0,1223,All usual residents
E01011420,0,1293,All usual residents
E01011421,0,1486,All usual residents
E01011422,0,1485,All usual residents
E01011423,0,1622,All usual residents
E01011424,0,1600,All usual residents
E01011425,0,1561,All usual residents
E01011426,0,1705,All usual residents
E01011427,0,1769,All usual residents
E01011428,0,1870,All usual residents
E01011429,0,2007,All usual residents
E01011430,0,1508,All usual residents
E01011431,0,1878,All usual residents
E01011432,0,1558,All usual residents
E01011433,0,1538,All usual residents
E01011434,0,1397,All usual residents
E01011435,0,1820,All usual residents
E01011440,0,1622,All usual residents
E01011441,0,1954,All usual residents
E01011442,0,1619,All usual residents
E01011443,0,1381,All usual residents
E01011444,0,1849,All usual residents
E01011445,0,1679,All usual residents
E01011446,0,1574,All usual residents
E01011447,0,1428,All usual residents
E01011448,0,1572,All usual residents
E01011449,0,1383,All usual residents
E01011450,0,1226,All usual residents
E01011451,0,2107,All usual residents
E01011452,0,1524,All usual residents
E01011453,0,1482,All usual residents
E01011454,0,1492,All usual residents
E01011455,0,1382,All usual residents
E01011456,0,1707,All usual residents
E01011457,0,1591,All usual residents
E01011458,0,1382,All usual residents
E01011459,0,1582,All usual residents
E01011460,0,1409,All usual residents
E01011461,0,1530,All usual residents
E01011462,0,1632,All usual residents
E01011463,0,1583,All usual residents
E01011464,0,1678,All usual residents
E01011465,0,1532,All usual residents
E01011466,0,1489,All usual residents
E01011467,0,1542,All usual residents
E01011468,0,1500,All usual residents
E01011469,0,1460,All usual residents
E01011470,0,1266,All usual residents
E01011471,0,1400,All usual residents
E01011472,0,1598,All usual residents
E01011473,0,1476,All usual residents
E01011474,0,1457,All usual residents
E01011475,0,1497,All usual residents
E01011476,0,1195,All usual residents
E01011477,0,1928,All usual residents
E01011478,0,1679,All usual residents
E01011479,0,1476,All usual residents
E01011480,0,1590,All usual residents
E01011481,0,1578,All usual residents
E01011482,0,1693,All usual residents
E01011483,0,1570,All usual residents
E01011484,0,1538,All usual residents
E01011485,0,1524,All usual residents
E01011488,0,1431,All usual residents
E01011489,0,1687,All usual residents
E01011490,0,2518,All usual residents
E01011491,0,1357,All usual residents
E01011492,0,1366,All usual residents
E01011493,0,1540,All usual residents
E01011494,0,1304,All usual residents
E01011496,0,1510,All usual residents
E01011497,0,1608,All usual residents
E01011499,0,2588,All usual residents
E01011500,0,1590,All usual residents
E01011502,0,1333,All usual residents
E01011504,0,1426,All usual residents
E01011505,0,1599,All usual residents
E01011506,0,1439,All usual residents
E01011507,0,1580,All usual residents
E01011508,0,1414,All usual residents
E01011509,0,1351,All usual residents
E01011510,0,1576,All usual residents
E01011511,0,1329,All usual residents
E01011512,0,1566,All usual residents
E01011513,0,2181,All usual residents
E01011514,0,1631,All usual residents
E01011515,0,1421,All usual residents
E01011516,0,1704,All usual residents
E01011517,0,1638,All usual residents
E01011518,0,2187,All usual residents
E01011519,0,1488,All usual residents
E01011520,0,1491,All usual residents
E01011521,0,1968,All usual residents
E01011522,0,1396,All usual residents
E01011523,0,1782,All usual residents
E01011524,0,1241,All usual residents
E01011525,0,1576,All usual residents
E01011526,0,1291,All usual residents
E01011527,0,1773,All usual residents
E01011528,0,1596,All usual residents
E01011529,0,1434,All usual residents
E01011530,0,1460,All usual residents
E01011531,0,1461,All usual residents
E01011532,0,1556,All usual residents
E01011533,0,1294,All usual residents
E01011534,0,1421,All usual residents
E01011535,0,1664,All usual residents
E01011536,0,1587,All usual residents
E01011537,0,2066,All usual residents
E01011538,0,1507,All usual residents
E01011540,0,1439,All usual residents
E01011541,0,1714,All usual residents
E01011545,0,1388,All usual residents
E01011546,0,1664,All usual residents
E01011547,0,1781,All usual residents
E01011548,0,1445,All usual residents
E01011549,0,1503,All usual residents
E01011550,0,1404,All usual residents
E01011551,0,1565,All usual residents
E01011552,0,1467,All usual residents
E01011553,0,1436,All usual residents
E01011554,0,1446,All usual residents
E01011555,0,1362,All usual residents
E01011556,0,1576,All usual residents
E01011557,0,1529,All usual residents
E01011558,0,1577,All usual residents
E01011559,0,1259,All usual residents
E01011560,0,1800,All usual residents
E01011561,0,1217,All usual residents
E01011562,0,1592,All usual residents
E01011563,0,1416,All usual residents
E01011564,0,1501,All usual residents
E01011565,0,1433,All usual residents
E01011566,0,1309,All usual residents
E01011567,0,1393,All usual residents
E01011568,0,1831,All usual residents
E01011569,0,1662,All usual residents
E01011570,0,2284,All usual residents
E01011571,0,1597,All usual residents
E01011572,0,1763,All usual residents
E01011573,0,1341,All usual residents
E01011574,0,1456,All usual residents
E01011576,0,1432,All usual residents
E01011578,0,1321,All usual residents
E01011579,0,1245,All usual residents
E01011580,0,1342,All usual residents
E01011581,0,1469,All usual residents
E01011582,0,1651,All usual residents
E01011583,0,1479,All usual residents
E01011584,0,1250,All usual residents
E01011585,0,1435,All usual residents
E01011586,0,1494,All usual residents
E01011587,0,1663,All usual residents
E01011588,0,1725,All usual residents
E01011589,0,1521,All usual residents
E01011590,0,1540,All usual residents
E01011591,0,1616,All usual residents
E01011592,0,1402,All usual residents
E01011593,0,1764,All usual residents
E01011594,0,1455,All usual residents
E01011595,0,1804,All usual residents
E01011596,0,1675,All usual residents
E01011597,0,1507,All usual residents
E01011598,0,1544,All usual residents
E01011599,0,1535,All usual residents
E01011600,0,1519,All usual residents
E01011601,0,1494,All usual residents
E01011602,0,1525,All usual residents
E01011603,0,1516,All usual residents
E01011604,0,1334,All usual residents
E01011605,0,1458,All usual residents
E01011606,0,1682,All usual residents
E01011607,0,1588,All usual residents
E01011608,0,1384,All usual residents
E01011609,0,1453,All usual residents
E01011610,0,1418,All usual residents
E01011611,0,1364,All usual residents
E01011612,0,1302,All usual residents
E01011613,0,1303,All usual residents
E01011614,0,1811,All usual residents
E01011615,0,1529,All usual residents
E01011616,0,1431,All usual residents
E01011617,0,1608,All usual residents
E01011618,0,1581,All usual residents
E01011620,0,1314,All usual residents
E01011621,0,1486,All usual residents
E01011622,0,1635,All usual residents
